age,workclass,education,marital_status,occupation,race,sex,hours_per_week,capital_gain,capital_loss,native_country,income
69,Self-emp-not-inc,11th Grade,Married-civ-spouse,Tech-support,Other,Female,59,6649,3966,Germany,>50K
32,Self-emp-inc,Bachelors,Married-spouse-absent,Tech-support,Other,Female,96,9573,4930,Canada,>50K
89,Federal-gov,11th Grade,Divorced,Prof-specialty,Black,Male,87,4437,261,United-States,>50K
78,Self-emp-not-inc,Some College,Separated,Tech-support,Amer-Indian-Eskimo,Female,48,4305,2347,Germany,>50K
38,State-gov,11th Grade,Never-married,Other-service,Other,Male,46,5567,3397,Mexico,>50K
41,Self-emp-not-inc,Doctorate,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Male,87,5218,1431,Philippines,>50K
20,Private,Masters,Married-spouse-absent,Craft-repair,Asian-Pac-Islander,Female,97,5120,4954,United-States,<=50K
39,Federal-gov,HS Graduate,Divorced,Exec-managerial,Other,Female,18,1573,658,Mexico,>50K
70,Federal-gov,10th Grade,Married-spouse-absent,Exec-managerial,White,Female,37,413,2244,Germany,<=50K
19,Local-gov,Doctorate,Married-civ-spouse,Other-service,Amer-Indian-Eskimo,Female,61,8711,4037,Mexico,<=50K
47,Self-emp-not-inc,Some College,Married-civ-spouse,Other-service,Asian-Pac-Islander,Male,59,7537,4767,Germany,<=50K
55,Local-gov,Masters,Married-spouse-absent,Exec-managerial,Other,Female,6,3039,1630,Canada,>50K
19,Private,10th Grade,Married-spouse-absent,Craft-repair,Amer-Indian-Eskimo,Female,2,6547,1321,Canada,<=50K
81,Local-gov,Bachelors,Never-married,Sales,Amer-Indian-Eskimo,Male,11,9300,4515,Germany,<=50K
77,Self-emp-inc,Masters,Widowed,Craft-repair,Asian-Pac-Islander,Male,9,2740,3044,Germany,<=50K
38,Self-emp-not-inc,10th Grade,Widowed,Other-service,White,Female,79,8561,984,Germany,<=50K
50,Self-emp-not-inc,Doctorate,Married-spouse-absent,Other-service,Black,Female,75,1018,495,Mexico,>50K
75,Federal-gov,10th Grade,Never-married,Sales,White,Male,71,7293,209,Germany,>50K
39,Local-gov,11th Grade,Married-spouse-absent,Sales,Black,Male,22,1857,3995,Germany,>50K
66,Federal-gov,HS Graduate,Married-civ-spouse,Prof-specialty,White,Male,41,6737,1794,Canada,<=50K
76,State-gov,10th Grade,Divorced,Craft-repair,White,Female,55,1306,2844,Canada,<=50K
59,Local-gov,Bachelors,Widowed,Exec-managerial,Other,Female,49,4701,2383,United-States,>50K
77,Local-gov,Doctorate,Separated,Exec-managerial,Amer-Indian-Eskimo,Male,4,4501,2484,Mexico,<=50K
32,Private,Some College,Married-spouse-absent,Tech-support,White,Male,70,6504,2037,Philippines,>50K
79,Local-gov,Masters,Married-spouse-absent,Craft-repair,Amer-Indian-Eskimo,Male,7,7897,1502,Canada,>50K
79,Federal-gov,10th Grade,Divorced,Other-service,Amer-Indian-Eskimo,Male,96,1546,166,Mexico,<=50K
64,State-gov,Doctorate,Married-civ-spouse,Tech-support,Amer-Indian-Eskimo,Female,15,3486,341,Mexico,>50K
79,Local-gov,Bachelors,Separated,Craft-repair,Amer-Indian-Eskimo,Female,68,6618,2536,Mexico,>50K
68,Local-gov,Some College,Divorced,Exec-managerial,White,Male,26,6494,3402,Canada,>50K
